Step,AgentID,X,Y,Velocity,Current_lane,Is_alive
22,2,0.0,50.0,[0.5 0. ],0,False
22,3,0.0,50.0,[0.5 0. ],0,False
22,4,0.0,50.0,[0.5 0. ],0,False
22,5,0.0,50.0,[0.5 0. ],0,False
22,6,0.0,50.0,[0.5 0. ],0,False
22,7,0.0,50.0,[0.5 0. ],0,False
22,8,0.0,50.0,[0.5 0. ],0,False
22,9,0.0,50.0,[0.5 0. ],0,False
22,10,10.9,150.0,[0.5 0. ],1,True
22,11,0.0,150.0,[0.5 0. ],1,False
22,12,0.0,150.0,[0.5 0. ],1,False
22,13,0.0,150.0,[0.5 0. ],1,False
22,14,0.0,150.0,[0.5 0. ],1,False
22,15,0.0,150.0,[0.5 0. ],1,False
22,16,0.0,150.0,[0.5 0. ],1,False
22,17,0.0,150.0,[0.5 0. ],1,False
22,18,0.0,150.0,[0.5 0. ],1,False
22,19,0.0,150.0,[0.5 0. ],1,False
23,0,11.4,50.0,[0.566 0.   ],0,True
23,1,0.0,50.0,[0.5 0. ],0,False
23,2,0.0,50.0,[0.5 0. ],0,False
23,3,0.0,50.0,[0.5 0. ],0,False
23,4,0.0,50.0,[0.5 0. ],0,False
23,5,0.0,50.0,[0.5 0. ],0,False
23,6,0.0,50.0,[0.5 0. ],0,False
23,7,0.0,50.0,[0.5 0. ],0,False
23,8,0.0,50.0,[0.5 0. ],0,False
23,9,0.0,50.0,[0.5 0. ],0,False
23,10,11.4,150.0,[0.5 0. ],1,True
23,11,0.0,150.0,[0.5 0. ],1,False
23,12,0.0,150.0,[0.5 0. ],1,False
23,13,0.0,150.0,[0.5 0. ],1,False
23,14,0.0,150.0,[0.5 0. ],1,False
23,15,0.0,150.0,[0.5 0. ],1,False
23,16,0.0,150.0,[0.5 0. ],1,False
23,17,0.0,150.0,[0.5 0. ],1,False
23,18,0.0,150.0,[0.5 0. ],1,False
23,19,0.0,150.0,[0.5 0. ],1,False
24,0,11.9,50.0,[0.566 0.   ],0,True
24,1,0.0,50.0,[0.5 0. ],0,False
24,2,0.0,50.0,[0.5 0. ],0,False
24,3,0.0,50.0,[0.5 0. ],0,False
24,4,0.0,50.0,[0.5 0. ],0,False
24,5,0.0,50.0,[0.5 0. ],0,False
24,6,0.0,50.0,[0.5 0. ],0,False
24,7,0.0,50.0,[0.5 0. ],0,False
24,8,0.0,50.0,[0.5 0. ],0,False
24,9,0.0,50.0,[0.5 0. ],0,False
24,10,11.9,150.0,[0.5 0. ],1,True
24,11,0.0,150.0,[0.5 0. ],1,False
24,12,0.0,150.0,[0.5 0. ],1,False
24,13,0.0,150.0,[0.5 0. ],1,False
24,14,0.0,150.0,[0.5 0. ],1,False
24,15,0.0,150.0,[0.5 0. ],1,False
24,16,0.0,150.0,[0.5 0. ],1,False
24,17,0.0,150.0,[0.5 0. ],1,False
24,18,0.0,150.0,[0.5 0. ],1,False
24,19,0.0,150.0,[0.5 0. ],1,False
25,0,12.4,50.0,[0.566 0.   ],0,True
25,1,0.0,50.0,[0.5 0. ],0,False
25,2,0.0,50.0,[0.5 0. ],0,False
25,3,0.0,50.0,[0.5 0. ],0,False
25,4,0.0,50.0,[0.5 0. ],0,False
25,5,0.0,50.0,[0.5 0. ],0,False
25,6,0.0,50.0,[0.5 0. ],0,False
25,7,0.0,50.0,[0.5 0. ],0,False
25,8,0.0,50.0,[0.5 0. ],0,False
25,9,0.0,50.0,[0.5 0. ],0,False
25,10,12.4,150.0,[0.5 0. ],1,True
25,11,0.0,150.0,[0.5 0. ],1,False
25,12,0.0,150.0,[0.5 0. ],1,False
25,13,0.0,150.0,[0.5 0. ],1,False
25,14,0.0,150.0,[0.5 0. ],1,False
25,15,0.0,150.0,[0.5 0. ],1,False
25,16,0.0,150.0,[0.5 0. ],1,False
25,17,0.0,150.0,[0.5 0. ],1,False
25,18,0.0,150.0,[0.5 0. ],1,False
25,19,0.0,150.0,[0.5 0. ],1,False
26,0,12.9,50.0,[0.566 0.   ],0,True
26,1,0.0,50.0,[0.5 0. ],0,False
26,2,0.0,50.0,[0.5 0. ],0,False
26,3,0.0,50.0,[0.5 0. ],0,False
26,4,0.0,50.0,[0.5 0. ],0,False
26,5,0.0,50.0,[0.5 0. ],0,False
26,6,0.0,50.0,[0.5 0. ],0,False
26,7,0.0,50.0,[0.5 0. ],0,False
26,8,0.0,50.0,[0.5 0. ],0,False
26,9,0.0,50.0,[0.5 0. ],0,False
26,10,12.9,150.0,[0.5 0. ],1,True
26,11,0.0,150.0,[0.5 0. ],1,False
26,12,0.0,150.0,[0.5 0. ],1,False
26,13,0.0,150.0,[0.5 0. ],1,False
26,14,0.0,150.0,[0.5 0. ],1,False
26,15,0.0,150.0,[0.5 0. ],1,False
26,16,0.0,150.0,[0.5 0. ],1,False
26,17,0.0,150.0,[0.5 0. ],1,False
26,18,0.0,150.0,[0.5 0. ],1,False
26,19,0.0,150.0,[0.5 0. ],1,False
27,0,13.4,50.0,[0.566 0.   ],0,True
27,1,0.0,50.0,[0.5 0. ],0,False
27,2,0.0,50.0,[0.5 0. ],0,False
27,3,0.0,50.0,[0.5 0. ],0,False
27,4,0.0,50.0,[0.5 0. ],0,False
27,5,0.0,50.0,[0.5 0. ],0,False
27,6,0.0,50.0,[0.5 0. ],0,False
27,7,0.0,50.0,[0.5 0. ],0,False
27,8,0.0,50.0,[0.5 0. ],0,False
27,9,0.0,50.0,[0.5 0. ],0,False
27,10,13.4,150.0,[0.5 0. ],1,True
27,11,0.0,150.0,[0.5 0. ],1,False
27,12,0.0,150.0,[0.5 0. ],1,False
27,13,0.0,150.0,[0.5 0. ],1,False
27,14,0.0,150.0,[0.5 0. ],1,False
27,15,0.0,150.0,[0.5 0. ],1,False
27,16,0.0,150.0,[0.5 0. ],1,False
27,17,0.0,150.0,[0.5 0. ],1,False
27,18,0.0,150.0,[0.5 0. ],1,False
27,19,0.0,150.0,[0.5 0. ],1,False
28,0,13.9,50.0,[0.566 0.   ],0,True
28,1,0.0,50.0,[0.5 0. ],0,False
28,2,0.0,50.0,[0.5 0. ],0,False
28,3,0.0,50.0,[0.5 0. ],0,False
28,4,0.0,50.0,[0.5 0. ],0,False
28,5,0.0,50.0,[0.5 0. ],0,False
28,6,0.0,50.0,[0.5 0. ],0,False
28,7,0.0,50.0,[0.5 0. ],0,False
28,8,0.0,50.0,[0.5 0. ],0,False
28,9,0.0,50.0,[0.5 0. ],0,False
28,10,13.9,150.0,[0.5 0. ],1,True
28,11,0.0,150.0,[0.5 0. ],1,False
28,12,0.0,150.0,[0.5 0. ],1,False
28,13,0.0,150.0,[0.5 0. ],1,False
28,14,0.0,150.0,[0.5 0. ],1,False
28,15,0.0,150.0,[0.5 0. ],1,False
